msn,work_order,point_id,rail,dx_value (mm),dy_value (mm),dz_value (mm)
11647,1016531733,FR035_MR0254R_RJ_0001_NFF,254R,-0.36,0.78,0.09
11647,1016531733,FR035_MR0765L_SJ_0007_NFF,765L,-0.34,-0.71,0.14
11647,1016531733,FR035_MR0765R_SJ_0007_NFF,765R,-0.22,-0.25,0.21
11650,1016557530,FR035_MR1292L_SJ_0015_NFF,1292L,0.00,0.81,0.42
11650,1016557530,FR035_MR1292R_SJ_0015_NFF,1292R,0.00,-0.57,0.36
11650,1016557530,FR035_MR0254L_RJ_0001_NFF,254L,-0.12,2.39,-2.06
11650,1016557530,FR035_MR0254R_RJ_0001_NFF,254R,-0.15,-0.59,-1.47
11650,1016557530,FR035_MR0765L_SJ_0007_NFF,765L,0.01,0.97,-1.62
11650,1016557530,FR035_MR0765R_SJ_0007_NFF,765R,-1.29,-0.16,0.14
11654,1016650916,FR035_MR1292L_SJ_0015_NFF,1292L,-0.47,1.14,1.07
11654,1016650916,FR035_MR1292R_SJ_0015_NFF,1292R,0.47,-0.64,0.47
11654,1016650916,FR035_MR0254L_RJ_0001_NFF,254L,-0.05,2.07,-0.03
11654,1016650916,FR035_MR0254R_RJ_0001_NFF,254R,-0.52,-0.61,-1.13
11654,1016650916,FR035_MR0765L_SJ_0007_NFF,765L,-0.95,0.64,0.94
11654,1016650916,FR035_MR0765R_SJ_0007_NFF,765R,-0.96,-0.96,-0.18
11656,1016585546,FR035_MR1292L_SJ_0015_NFF,1292L,0.25,0.12,0.36
11656,1016585546,FR035_MR1292R_SJ_0015_NFF,1292R,-0.25,-1.35,-0.01
11656,1016585546,FR035_MR0254L_RJ_0001_NFF,254L,1.08,-0.51,-0.31
11656,1016585546,FR035_MR0254R_RJ_0001_NFF,254R,-0.19,-1.59,-0.15
11656,1016585546,FR035_MR0765L_SJ_0007_NFF,765L,-0.02,-1.11,0.04
11656,1016585546,FR035_MR0765R_SJ_0007_NFF,765R,0.12,-0.82,0.04
11662,1016629434,FR035_MR1292L_SJ_0015_NFF,1292L,-0.43,0.68,0.12
11662,1016629434,FR035_MR1292R_SJ_0015_NFF,1292R,0.43,-0.51,0.28
11662,1016629434,FR035_MR0254L_RJ_0001_NFF,254L,0.20,0.17,-1.53
